host,row,col,rack,shelf,slot,x,y,z,section,ibport,partner,bootnode
rd82,f,11,f11,4,8,0,1,3,,21,rdoss-home1,rdboot1
rd82-sp,f,11,f11,4,8,0,1,3,,21,rdoss-home1,rdboot1
rd83,f,11,f11,4,9,0,1,3,,23,rdoss-home2,rdboot1
rd83-sp,f,11,f11,4,9,0,1,3,,23,rdoss-home2,rdboot1
rd84,f,11,f11,4,10,0,1,3,,25,rdoss-scratch1,rdboot1
rd84-sp,f,11,f11,4,10,0,1,3,,25,rdoss-scratch1,rdboot1
rd85,f,11,f11,4,11,0,1,3,,27,rdoss-scratch2,rdboot1
rd85-sp,f,11,f11,4,11,0,1,3,,27,rdoss-scratch2,rdboot1
rd9,f,11,f11,1,4,0,0,0,,24,rd10,rdboot1
rd9-sp,f,11,f11,1,4,0,0,0,,24,rd10,rdboot1
rdadmin1,f,11,f11,4,1,0,1,2,,18,rd75,jumpnode1
rdadmin1-man,,,,,,,,,,,,
rdadmin1-sp,f,11,f11,4,1,0,1,2,,18,rd75,jumpnode1
rdadmin2,f,11,f11,4,2,0,1,2,,20,rd76,jumpnode1
rdadmin2-man,,,,,,,,,,,,
rdadmin2-sp,f,11,f11,4,2,0,1,2,,20,rd76,jumpnode1
rdboot1,f,11,f11,4,3,0,1,2,,22,rd77,rdadmin1
rdboot1-man,,,,,,,,,,,,
rdboot1-sp,f,11,f11,4,3,0,1,2,,22,rd77,rdadmin1
rdlogin1,f,11,f11,4,4,0,1,2,,24,rd78,rdadmin2
rdlogin1-sp,f,11,f11,4,4,0,1,2,,24,rd78,rdadmin2
rdlogin2,f,11,f11,4,5,0,1,2,,26,rd79,rdadmin2
rdlogin2-sp,f,11,f11,4,5,0,1,2,,26,rd79,rdadmin2
rdmds-home1,f,11,f11,4,6,0,1,3,,16,rd80,rdadmin2
rdmds-home1-sp,,,,,,,,,,,,
rdmds-scratch1,f,11,f11,4,7,0,1,3,,18,rd81,rdadmin2
rdmds-scratch1-sp,,,,,,,,,,,,
rdoss-home1,f,11,f11,4,8,0,1,3,,20,rd82,rdadmin2
rdoss-home1-sp,,,,,,,,,,,,
rdoss-home2,f,11,f11,4,9,0,1,3,,22,rd83,rdadmin2
rdoss-home2-sp,,,,,,,,,,,,
rdoss-scratch1,f,11,f11,4,10,0,1,3,,24,rd84,rdadmin2
rdoss-scratch1-sp,,,,,,,,,,,,
rdoss-scratch2,f,11,f11,4,11,0,1,3,,26,rd85,rdadmin2
rdoss-scratch2-sp,,,,,,,,,,,,
