nid,hex,node,type,arch,os,cores,availmem,pagesz,clockmhz,cpu,slot,cage,cabinet,cab_position,cab_row,x_coord,y_coord,z_coord,processor_type,alloc_mode,process_slots,process_slots_free,processor_spec,next_red_black_switch,od_allocator_id
35,0x23,c0-0c1s1n3,compute,xt,cnl,16,32000,4096,2400,3,1,1,NULL,0,0,1,1,1,compute,batch,4,4,NULL,NULL,54
36,0x24,c0-0c1s2n2,service,xt,service,6,16000,4096,2200,2,2,1,NULL,0,0,1,1,2,service,other,4,4,NULL,NULL,67
37,0x25,c0-0c1s2n3,service,xt,service,6,16000,4096,2200,3,2,1,NULL,0,0,1,1,2,service,other,4,4,NULL,NULL,68
38,0x26,c0-0c1s3n2,compute,xt,cnl,16,32000,4096,2400,2,3,1,NULL,0,0,1,1,3,compute,batch,4,4,NULL,NULL,65
39,0x27,c0-0c1s3n3,compute,xt,cnl,16,32000,4096,2400,3,3,1,NULL,0,0,1,1,3,compute,batch,4,4,NULL,NULL,66
40,0x28,c0-0c1s4n2,compute,xt,cnl,16,32000,4096,2400,2,4,1,NULL,0,0,1,1,4,compute,batch,4,4,NULL,NULL,79
41,0x29,c0-0c1s4n3,compute,xt,cnl,16,32000,4096,2400,3,4,1,NULL,0,0,1,1,4,compute,batch,4,4,NULL,NULL,80
42,0x2a,c0-0c1s5n2,compute,xt,cnl,16,32000,4096,2400,2,5,1,NULL,0,0,1,1,5,compute,batch,4,4,NULL,NULL,77
43,0x2b,c0-0c1s5n3,compute,xt,cnl,16,32000,4096,2400,3,5,1,NULL,0,0,1,1,5,compute,batch,4,4,NULL,NULL,78
44,0x2c,c0-0c1s6n2,compute,xt,cnl,16,32000,4096,2400,2,6,1,NULL,0,0,1,1,6,compute,batch,4,4,NULL,NULL,91
45,0x2d,c0-0c1s6n3,compute,xt,cnl,16,32000,4096,2400,3,6,1,NULL,0,0,1,1,6,compute,batch,4,4,NULL,NULL,92
46,0x2e,c0-0c1s7n2,compute,xt,cnl,16,32000,4096,2400,2,7,1,NULL,0,0,1,1,7,compute,batch,4,4,NULL,NULL,89
47,0x2f,c0-0c1s7n3,compute,xt,cnl,16,32000,4096,2400,3,7,1,NULL,0,0,1,1,7,compute,batch,4,4,NULL,NULL,90
48,0x30,c0-0c1s7n0,compute,xt,cnl,16,32000,4096,2400,0,7,1,NULL,0,0,1,0,7,compute,batch,4,4,NULL,NULL,41
49,0x31,c0-0c1s7n1,compute,xt,cnl,16,32000,4096,2400,1,7,1,NULL,0,0,1,0,7,compute,batch,4,4,NULL,NULL,42
50,0x32,c0-0c1s6n0,compute,xt,cnl,16,32000,4096,2400,0,6,1,NULL,0,0,1,0,6,compute,batch,4,4,NULL,NULL,43
51,0x33,c0-0c1s6n1,compute,xt,cnl,16,32000,4096,2400,1,6,1,NULL,0,0,1,0,6,compute,batch,4,4,NULL,NULL,44
52,0x34,c0-0c1s5n0,compute,xt,cnl,16,32000,4096,2400,0,5,1,NULL,0,0,1,0,5,compute,batch,4,4,NULL,NULL,29
53,0x35,c0-0c1s5n1,compute,xt,cnl,16,32000,4096,2400,1,5,1,NULL,0,0,1,0,5,compute,batch,4,4,NULL,NULL,30
54,0x36,c0-0c1s4n0,compute,xt,cnl,16,32000,4096,2400,0,4,1,NULL,0,0,1,0,4,compute,batch,4,4,NULL,NULL,31
55,0x37,c0-0c1s4n1,compute,xt,cnl,16,32000,4096,2400,1,4,1,NULL,0,0,1,0,4,compute,batch,4,4,NULL,NULL,32
56,0x38,c0-0c1s3n0,compute,xt,cnl,16,32000,4096,2400,0,3,1,NULL,0,0,1,0,3,compute,batch,4,4,NULL,NULL,17
57,0x39,c0-0c1s3n1,compute,xt,cnl,16,32000,4096,2400,1,3,1,NULL,0,0,1,0,3,compute,batch,4,4,NULL,NULL,18
58,0x3a,c0-0c1s2n0,service,xt,service,6,16000,4096,2200,0,2,1,NULL,0,0,1,0,2,service,batch,4,4,NULL,NULL,19
59,0x3b,c0-0c1s2n1,service,xt,service,6,16000,4096,2200,1,2,1,NULL,0,0,1,0,2,service,batch,4,4,NULL,NULL,20
60,0x3c,c0-0c1s1n0,compute,xt,cnl,16,32000,4096,2400,0,1,1,NULL,0,0,1,0,1,compute,batch,4,4,NULL,NULL,5
61,0x3d,c0-0c1s1n1,compute,xt,cnl,16,32000,4096,2400,1,1,1,NULL,0,0,1,0,1,compute,batch,4,4,NULL,NULL,6
62,0x3e,c0-0c1s0n0,service,xt,service,6,16000,4096,2200,0,0,1,NULL,0,0,1,0,0,service,batch,4,4,NULL,NULL,7
63,0x3f,c0-0c1s0n1,service,xt,service,6,16000,4096,2200,1,0,1,NULL,0,0,1,0,0,service,batch,4,4,NULL,NULL,8
64,0x40,c0-0c2s0n0,service,xt,service,6,16000,4096,2200,0,0,2,NULL,0,0,2,0,0,service,batch,4,4,NULL,NULL,9
65,0x41,c0-0c2s0n1,service,xt,service,6,16000,4096,2200,1,0,2,NULL,0,0,2,0,0,service,batch,4,4,NULL,NULL,10
66,0x42,c0-0c2s1n0,compute,xt,cnl,16,32000,4096,2400,0,1,2,NULL,0,0,2,0,1,compute,batch,4,4,NULL,NULL,11
67,0x43,c0-0c2s1n1,compute,xt,cnl,16,32000,4096,2400,1,1,2,NULL,0,0,2,0,1,compute,batch,4,4,NULL,NULL,12
68,0x44,c0-0c2s2n0,service,xt,service,6,16000,4096,2200,0,2,2,NULL,0,0,2,0,2,service,batch,4,4,NULL,NULL,21
69,0x45,c0-0c2s2n1,service,xt,service,6,16000,4096,2200,1,2,2,NULL,0,0,2,0,2,service,batch,4,4,NULL,NULL,22
